,PlayerType,YearsPlayed,WicketKeeper,BattingStyle,BowlingStyle,Team
Rahul Tewatia,ALLROUNDERS,2017,False,Left hand Bat,Legbreak,PBKS
Varun Aaron,BOWLERS,2017,False,Right hand Bat,Right arm Fast,PBKS
Anureet Singh,BOWLERS,"2017,2016,2015,2014",False,Right hand Bat,Right arm Medium,PBKS
KC Cariappa,BOWLERS,"2017,2016",False,Right hand Bat,Legbreak,PBKS
Matt Henry,BOWLERS,2017,False,Right hand Bat,Right arm Fast medium,PBKS
T Natarajan,BOWLERS,2017,False,Left hand Bat,Left arm Medium,PBKS
Ishant Sharma,BOWLERS,2017,False,Right hand Bat,Right arm Fast medium,PBKS
Swapnil Singh,BOWLERS,"2017,2016",False,Right hand Bat,Slow Left arm Orthodox,PBKS
Murali Vijay,BATTERS,"2016,2015",False,Right hand Bat,Right arm Offbreak,PBKS
Farhaan Behardien,ALLROUNDERS,2016,False,Right hand Bat,Right arm Fast medium,PBKS
Kyle Abbott,BOWLERS,"2016,2012",False,Right hand Bat,Right arm Fast medium,PBKS
Mitchell Johnson,BOWLERS,"2016,2015,2014",False,Left hand Bat,Left arm Fast,PBKS
Shardul Thakur,BOWLERS,"2016,2015,2014",False,Right hand Bat,Right arm Medium,PBKS
George Bailey,BATTERS,"2015,2014",False,Right hand Bat,Right arm Medium,PBKS
Shaun Marsh,BATTERS,"2015,2014,2013,2012,2011,2010,2009,2008",False,Left hand Bat,Slow Left arm Orthodox,PBKS
Virender Sehwag,BATTERS,"2015,2014",False,Right hand Bat,Right arm Offbreak,PBKS
Glenn Maxwell,ALLROUNDERS,"2015,2014",False,Right hand Bat,Right arm Offbreak,PBKS
Thisara Perera,ALLROUNDERS,"2015,2014",False,Left hand Bat,Right arm Medium fast,PBKS
Parvinder Awana,BOWLERS,"2015,2014,2013,2012",False,Right hand Bat,Right arm Medium,PBKS
Beuran Hendricks,BOWLERS,"2015,2014",False,Left hand Bat,Left arm Fast medium,PBKS
Yogesh Golwalkar,BOWLERS,2015,False,Left hand Bat,Legbreak,PBKS
Karanveer Singh,BOWLERS,"2015,2014",False,Right hand Bat,Legbreak Googly,PBKS
Shivam Sharma,BOWLERS,"2015,2014",False,Right hand Bat,Right arm Offbreak,PBKS
Cheteshwar Pujara,BATTERS,2014,False,Right hand Bat,Legbreak,PBKS
Lakshmipathy Balaji,BOWLERS,2014,False,Right hand Bat,Right arm Medium fast,PBKS
Murali Kartik,BOWLERS,2014,False,Left hand Bat,Slow Left arm Orthodox,PBKS
